x,y,地点名,住所
35.70484674,139.6511684,高円寺氷川神社（気象神社）,〒166-0003 東京都杉並区高円寺南４丁目４４?１９ 氷川神社
35.69318264,139.7027452,マンボー新宿靖国通り点,〒160-0022 東京都新宿区新宿３丁目２０?５ ニューサンパークビルB1F
35.69434272,139.7006236,マクドナルド西武新宿駅前店,〒160-0021 東京都新宿区歌舞伎町１丁目２４?１
35.65537059,139.747913,芝公園,〒105-0011 東京都港区芝公園４丁目１０?１７
35.66024118,139.7293336,六本木ヒルズ展望台東京シティビュー,〒106-0032 東京都港区六本木６丁目１０?１ 六本木ヒルズ森タワー 52階
35.67165984,139.7672191,銀座 朝日稲荷神社,〒104-0061 東京都中央区銀座３丁目８?１２ 大広朝日ビル
35.63029317,139.775764,お台場海浜公園,〒135-0091 東京都港区台場１丁目４
35.68568289,139.6998528,JR東京総合病院,〒151-8528 東京都渋谷区代々木２丁目１?３
35.65968247,139.7005596,渋谷スクランブル交差点,東京都渋谷区
35.68457565,139.7030716,ドコモタワー（NTTドコモ代々木ビル）,〒151-0051 東京都渋谷区千駄ケ谷５丁目２４?１０
35.68355335,139.7017708,代々木会館,東京都渋谷区代々木1丁目35－1
35.68898358,139.6913975,東京都庁・都庁通り（西新宿）,〒160-0023 東京都新宿区西新宿2丁目8-1
35.69522021,139.7022406,天下一品歌舞伎町店,〒160-0021 東京都新宿区歌舞伎町１丁目１４?３ １・２Ｆ 第103 東京ビル
35.69544941,139.7019686,新宿東宝ビル前（旧新宿コマ劇場跡）,東京都新宿区歌舞伎町1-19-1
35.6961112,139.7030838,アタミビル（歌舞伎町）,東京都新宿区歌舞伎町2丁目27?8
35.69557759,139.7054051,エコロパーク歌舞伎町第20,東京都新宿区歌舞伎町2丁目9?17
35.69717596,139.7058908,ホテルセリオ（HOTEL SERIO）,東京都新宿区歌舞伎町2丁目15?1
